"Unidade";"UF";"Edital";"Processo SEI";"Ciclo";"Vagas Previstas";"Contratados";"Vagas Ociosas";"Inscritos";"Status";"Etapa";"Risco";"Data de Início";"Data de Encerramento";"Responsável";"Observações";"Link do Edital"
"DSEI Pernambuco";"PE";"23/2026";"AGSUS.007395/2025-38";"4º";"11";"0";"11";"1700";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2026-03-30";"2026-06-15";"Núcleo";"";"https://agenciasus.org.br/shared-files/27141/?EDITAL-No-23-2026-%E2%80%93-Edital-Retificado-Consolidado.pdf"
"DSEI Minas Gerais e Espírito Santo";"MG";"64/2025";"AGSUS.006169/2025-30";"1º CICLO";"20";"11";"9";"622";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-03";"2025-12-03";"Rosangela";"";"https://agenciasus.org.br/shared-files/18163/?Edital-no-64-Processo-Seletivo-Simplificado-DSEI-Minas-Gerais-e-Espirito-Santos.pdf"
"DSEI Potiguara";"PB";"36/2026";"AGSUS.000534/2026-83";"4º";"9";"0";"9";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-12";"2026-09-03";"Núcleo";"Varias vagas";"https://agenciasus.org.br/shared-files/32527/?Edital-do-Processo-Seletivo-Simplificado-no-362026.pdf"
"DSEI Rio Tapajós";"PA";"71/2025";"AGSUS.007238/2025-22";"3º CICLO";"15";"6";"9";"446";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-10";"2025-11-21";"Suzana";"";"https://agenciasus.org.br/shared-files/18587/?EDITAL-PROCESSO-SELETIVO-SIMPLIFICADO-DSEI-RIO-TAPAJOS.pdf"
"DSEI Alto Rio Juruá";"AC";"79/2025";"AGSUS.008085/2025-31";"3º CICLO";"21";"13";"8";"736";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-27";"2026-01-12";"Rosangela";"";"https://agenciasus.org.br/shared-files/19270/?SEI_0142425_Edital_Processo_Seletivo_Simplificado_DSEI_Alto_Rio.pdf"
"DSEI Guamá-Tocantins";"PA";"88/2025";"AGSUS.008220/2025-48";"3º CICLO";"58";"52";"6";"2572";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-30";"2026-01-05";"Wenddel";"";"https://agenciasus.org.br/shared-files/19539/?Edital-do-Processo-Seletivo-Simplificado-no-88-2025-%E2%80%93-DSEI-Guama-Tocantins.pdf"
"DSEI Araguaia";"MT";"90/2025";"AGSUS.008203/2025-19";"3º CICLO";"8";"5";"3";"333";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-22";"2026-01-05";"Suzana";"";"https://agenciasus.org.br/shared-files/19148/?Edital-DSEI-ARAGUAIA.pdf"
"DSEI Alagoas e Sergipe";"AL";"34/2026";"AGSUS.014221/2026-11";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32799/?Edital-do-Processo-Seletivo-Simplificado-Sanitarista-no-342026.pdf"
"DSEI Altamira";"PA";"39/2026";"AGSUS.015340/2026-82";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32763/?SEI_0522379_Edital_de_Processo_Seletivo_Simplificado_39.pdf"
"DSEI Alto Rio Juruá";"AC";"40/2026";"AGSUS.015344/2026-61";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32866/?SEI_0522454_Edital_de_Processo_Seletivo_Simplificado_40.pdf"
